INFO:  2022-04-18 21:27:10,645:  13513:  <module>:  CPU usage 0.0%
ERROR:  2022-04-18 21:27:10,646:  13513:  <module>:  name 'sdafds' is not defined
INFO:  2022-04-18 21:28:53,673:  13613:  <module>:  CPU usage 0.0%
ERROR:  2022-04-18 21:28:53,673:  13613:  <module>:  name 'asdfadsf' is not defined
INFO:  2022-04-18 21:29:06,231:  13657:  <module>:  CPU usage 0.0%
ERROR:  2022-04-18 21:29:06,231:  13657:  <module>:  name 'asdfadsf' is not defined
INFO:  2022-04-18 21:29:29,698:  13713:  <module>:  CPU usage 0.0%
ERROR:  2022-04-18 21:29:29,698:  13713:  <module>:  name 'sdafds' is not defined
INFO:  2022-04-18 21:29:37,478:  13751:  <module>:  CPU usage 0.0%
ERROR:  2022-04-18 21:29:37,478:  13751:  <module>:  name 'sdafds' is not defined
INFO:  2022-04-18 21:29:37,690:  13752:  <module>:  CPU usage 0.0%
ERROR:  2022-04-18 21:29:37,690:  13752:  <module>:  name 'sdafds' is not defined
INFO:  2022-04-18 21:29:37,868:  13753:  <module>:  CPU usage 0.0%
ERROR:  2022-04-18 21:29:37,868:  13753:  <module>:  name 'sdafds' is not defined
INFO:  2022-04-18 21:29:38,036:  13754:  <module>:  CPU usage 0.0%
ERROR:  2022-04-18 21:29:38,036:  13754:  <module>:  name 'sdafds' is not defined
INFO:  2022-04-18 21:29:38,217:  13755:  <module>:  CPU usage 0.0%
ERROR:  2022-04-18 21:29:38,217:  13755:  <module>:  name 'sdafds' is not defined
INFO:  2022-04-18 21:29:38,387:  13756:  <module>:  CPU usage 0.0%
ERROR:  2022-04-18 21:29:38,387:  13756:  <module>:  name 'sdafds' is not defined
INFO:  2022-04-18 21:29:38,547:  13757:  <module>:  CPU usage 0.0%
ERROR:  2022-04-18 21:29:38,547:  13757:  <module>:  name 'sdafds' is not defined
INFO:  2022-04-18 21:29:38,739:  13758:  <module>:  CPU usage 0.0%
ERROR:  2022-04-18 21:29:38,739:  13758:  <module>:  name 'sdafds' is not defined
