,constructorResultsId,raceId,constructorId,points,status
0,1,18,1,14.0,
1,2,18,2,8.0,
2,3,18,3,9.0,
3,4,18,4,5.0,
4,5,18,5,2.0,
5,6,18,6,1.0,
6,7,18,7,0.0,
7,8,18,8,0.0,
8,9,18,9,0.0,
9,10,18,10,0.0,
10,11,18,11,0.0,
11,12,19,6,10.0,
12,13,19,2,11.0,
13,14,19,1,10.0,
14,15,19,7,5.0,
15,16,19,9,2.0,
16,17,19,4,1.0,
17,18,19,11,0.0,
18,19,19,10,0.0,
19,20,19,3,0.0,
20,21,19,8,0.0,
21,22,19,5,0.0,
22,23,20,6,18.0,
23,24,20,2,11.0,
24,25,20,1,4.0,
25,26,20,7,3.0,
26,27,20,9,2.0,
27,28,20,3,1.0,
28,29,20,4,0.0,
29,30,20,11,0.0,
30,31,20,10,0.0,
31,32,20,5,0.0,
32,33,20,8,0.0,
33,34,21,6,18.0,
34,35,21,1,6.0,
35,36,21,2,5.0,
36,37,21,9,4.0,
37,38,21,11,3.0,
38,39,21,3,2.0,
39,40,21,7,1.0,
40,41,21,10,0.0,
41,42,21,8,0.0,
42,43,21,4,0.0,
43,44,21,5,0.0,
44,45,22,6,16.0,
45,46,22,1,8.0,
46,47,22,2,9.0,
47,48,22,4,3.0,
48,49,22,9,2.0,
49,50,22,3,1.0,
50,51,22,7,0.0,
51,52,22,11,0.0,
52,53,22,10,0.0,
53,54,22,5,0.0,
54,55,23,1,11.0,
55,56,23,2,8.0,
56,57,23,6,6.0,
57,58,23,9,5.0,
58,59,23,5,4.0,
59,60,23,11,3.0,
60,61,23,3,2.0,
61,62,23,4,0.0,
62,63,23,7,0.0,
63,64,23,10,0.0,
64,65,24,2,18.0,
65,66,24,9,6.0,
66,67,24,7,8.0,
67,68,24,6,4.0,
68,69,24,11,2.0,
69,70,24,5,1.0,
70,71,24,1,0.0,
71,72,24,3,0.0,
72,73,24,10,0.0,
73,74,24,4,0.0,
74,75,25,6,18.0,
75,76,25,7,6.0,
76,77,25,1,5.0,
77,78,25,2,4.0,
78,79,25,9,3.0,
79,80,25,4,3.0,
80,81,25,5,0.0,
81,82,25,11,0.0,
82,83,25,3,0.0,
83,84,25,10,0.0,
84,85,26,1,14.0,
85,86,26,2,8.0,
86,87,26,11,6.0,
87,88,26,6,5.0,
88,89,26,4,3.0,
89,90,26,7,2.0,
90,91,26,3,1.0,
91,92,26,9,0.0,
92,93,26,5,0.0,
93,94,26,10,0.0,
94,95,27,1,14.0,
95,96,27,4,8.0,
96,97,27,6,9.0,
97,98,27,2,7.0,
98,99,27,5,1.0,
99,100,27,7,0.0,
100,101,27,3,0.0,
101,102,27,9,0.0,
102,103,27,10,0.0,
103,104,27,11,0.0,
104,105,28,1,14.0,
105,106,28,7,10.0,
106,107,28,6,6.0,
107,108,28,4,8.0,
108,109,28,2,1.0,
109,110,28,9,0.0,
110,111,28,11,0.0,
111,112,28,3,0.0,
112,113,28,10,0.0,
113,114,28,5,0.0,
114,115,29,6,10.0,
115,116,29,1,13.0,
116,117,29,2,6.0,
117,118,29,7,6.0,
118,119,29,5,3.0,
119,120,29,3,1.0,
120,121,29,4,0.0,
121,122,29,9,0.0,
122,123,29,11,0.0,
123,124,29,10,0.0,
124,125,30,6,10.0,
125,126,30,2,11.0,
126,127,30,1,6.0,
127,128,30,4,5.0,
128,129,30,5,6.0,
129,130,30,9,1.0,
130,131,30,7,0.0,
131,132,30,3,0.0,
132,133,30,10,0.0,
133,134,30,11,0.0,
134,135,31,5,10.0,
135,136,31,1,10.0,
136,137,31,2,10.0,
137,138,31,4,5.0,
138,139,31,6,3.0,
139,140,31,9,1.0,
140,141,31,7,0.0,
141,142,31,3,0.0,
142,143,31,11,0.0,
143,144,31,10,0.0,
144,145,32,4,10.0,
145,146,32,3,9.0,
146,147,32,1,6.0,
147,148,32,7,5.0,
148,149,32,5,4.0,
149,150,32,2,3.0,
150,151,32,9,2.0,
151,152,32,11,0.0,
152,153,32,6,0.0,
153,154,32,10,0.0,
154,155,33,4,15.0,
155,156,33,2,8.0,
156,157,33,6,8.0,
157,158,33,7,4.0,
158,159,33,5,3.0,
159,160,33,9,1.0,
160,161,33,3,0.0,
161,162,33,1,0.0,
162,163,33,11,0.0,
163,164,33,10,0.0,
164,165,34,1,10.0,
165,166,34,6,14.0,
166,167,34,4,6.0,
167,168,34,2,7.0,
168,169,34,7,2.0,
169,170,34,5,0.0,
170,171,34,9,0.0,
171,172,34,11,0.0,
172,173,34,3,0.0,
173,174,34,10,0.0,
174,175,35,6,16.0,
175,176,35,4,8.0,
176,177,35,5,5.0,
177,178,35,1,6.0,
178,179,35,7,4.0,
179,180,35,9,0.0,
180,181,35,2,0.0,
181,182,35,3,0.0,
182,183,35,11,0.0,
183,184,35,10,0.0,
184,185,36,6,13.0,
185,186,36,1,14.0,D
186,187,36,2,5.0,
187,188,36,4,4.0,
188,189,36,3,2.0,
189,190,36,7,1.0,
190,191,36,11,0.0,
191,192,36,8,0.0,
192,193,36,9,0.0,
193,194,36,5,0.0,
194,195,36,12,0.0,
195,196,37,1,18.0,D
196,197,37,6,10.0,
197,198,37,2,5.0,
198,199,37,4,4.0,
199,200,37,7,2.0,
200,201,37,3,0.0,
201,202,37,9,0.0,
202,203,37,11,0.0,
203,204,37,8,0.0,
204,205,37,5,0.0,
205,206,37,12,0.0,
206,207,38,6,16.0,
207,208,38,1,12.0,D
208,209,38,2,8.0,
209,210,38,7,2.0,
210,211,38,4,1.0,
211,212,38,3,0.0,
212,213,38,11,0.0,
213,214,38,12,0.0,
214,215,38,8,0.0,
215,216,38,9,0.0,
216,217,38,5,0.0,
217,218,39,6,10.0,
218,219,39,1,14.0,D
219,220,39,2,5.0,
220,221,39,9,4.0,
221,222,39,3,3.0,
222,223,39,4,2.0,
223,224,39,8,1.0,
224,225,39,11,0.0,
225,226,39,12,0.0,
226,227,39,7,0.0,
227,228,39,5,0.0,
228,229,40,1,18.0,D
229,230,40,6,7.0,
230,231,40,4,5.0,
231,232,40,2,7.0,
232,233,40,3,2.0,
233,234,40,5,0.0,
234,235,40,11,0.0,
235,236,40,9,0.0,
236,237,40,7,0.0,
237,238,40,8,0.0,
238,239,40,12,0.0,
239,240,41,1,12.0,D
240,241,41,2,8.0,
241,242,41,3,6.0,
242,243,41,4,5.0,
243,244,41,6,4.0,
244,245,41,8,3.0,
245,246,41,7,1.0,
246,247,41,9,0.0,
247,248,41,11,0.0,
248,249,41,5,0.0,
249,250,41,12,0.0,
250,251,42,1,18.0,D
251,252,42,6,11.0,
252,253,42,4,4.0,
253,254,42,7,3.0,
254,255,42,9,2.0,
255,256,42,2,1.0,
256,257,42,3,0.0,
257,258,42,8,0.0,
258,259,42,11,0.0,
259,260,42,5,0.0,
260,261,42,12,0.0,
261,262,43,6,18.0,
262,263,43,1,8.0,D
263,264,43,2,9.0,
264,265,43,4,3.0,
265,266,43,11,1.0,
266,267,43,3,0.0,
267,268,43,7,0.0,
268,269,43,9,0.0,
269,270,43,8,0.0,
270,271,43,12,0.0,
271,272,43,5,0.0,
272,273,44,6,14.0,
273,274,44,1,14.0,D
274,275,44,2,8.0,
275,276,44,4,3.0,
276,277,44,11,0.0,
277,278,44,9,0.0,
278,279,44,3,0.0,
279,280,44,8,0.0,
280,281,44,12,0.0,
281,282,44,5,0.0,
282,283,44,7,0.0,
283,284,45,1,10.0,D
284,285,45,6,8.0,
285,286,45,9,10.0,
286,287,45,3,5.0,
287,288,45,2,5.0,
288,289,45,4,1.0,
289,290,45,11,0.0,
290,291,45,8,0.0,
291,292,45,7,0.0,
292,293,45,12,0.0,
293,294,45,5,0.0,
294,295,46,1,15.0,D
295,296,46,6,8.0,
296,297,46,2,10.0,
297,298,46,7,3.0,
298,299,46,3,2.0,
299,300,46,4,1.0,
300,301,46,9,0.0,
301,302,46,8,0.0,
302,303,46,5,0.0,
303,304,46,12,0.0,
304,305,46,11,0.0,
305,306,47,6,18.0,
306,307,47,1,10.0,D
307,308,47,2,6.0,
308,309,47,4,3.0,
309,310,47,3,2.0,
310,311,47,9,0.0,
311,312,47,7,0.0,
312,313,47,11,0.0,
313,314,47,8,0.0,
314,315,47,5,0.0,
315,316,47,12,0.0,
316,317,48,1,18.0,D
317,318,48,6,6.0,
318,319,48,2,9.0,
319,320,48,3,3.0,
320,321,48,4,2.0,
321,322,48,11,1.0,
322,323,48,9,0.0,
323,324,48,7,0.0,
324,325,48,8,0.0,
325,326,48,5,0.0,
326,327,48,12,0.0,
327,328,49,6,18.0,
328,329,49,1,11.0,D
329,330,49,2,4.0,
330,331,49,3,3.0,
331,332,49,9,2.0,
332,333,49,4,1.0,
333,334,49,7,0.0,
334,335,49,5,0.0,
335,336,49,11,0.0,
336,337,49,12,0.0,
337,338,49,8,0.0,
338,339,50,1,10.0,D
339,340,50,4,12.0,
340,341,50,6,9.0,
341,342,50,9,5.0,
342,343,50,2,2.0,
343,344,50,12,1.0,
344,345,50,5,0.0,
345,346,50,11,0.0,
346,347,50,7,0.0,
347,348,50,8,0.0,
348,349,50,3,0.0,
349,350,51,6,16.0,
350,351,51,1,8.0,D
351,352,51,5,8.0,
352,353,51,11,4.0,
353,354,51,2,2.0,
354,355,51,9,1.0,
355,356,51,4,0.0,
356,357,51,3,0.0,
357,358,51,7,0.0,
358,359,51,8,0.0,
359,360,51,12,0.0,
360,361,52,6,18.0,
361,362,52,1,8.0,D
362,363,52,3,5.0,
363,364,52,2,7.0,
364,365,52,7,1.0,
365,366,52,9,0.0,
366,367,52,8,0.0,
367,368,52,5,0.0,
368,369,52,12,0.0,
369,370,52,11,0.0,
370,371,52,4,0.0,
371,372,53,4,10.0,
372,373,53,6,8.0,
373,374,53,1,10.0,
374,375,53,11,5.0,
375,376,53,3,5.0,
376,377,53,9,1.0,
377,378,53,5,0.0,
378,379,53,2,0.0,
379,380,53,7,0.0,
380,381,53,13,0.0,
381,382,53,8,0.0,
382,383,54,4,18.0,
383,384,54,11,6.0,
384,385,54,1,5.0,
385,386,54,6,7.0,
386,387,54,2,2.0,
387,388,54,7,1.0,
388,389,54,5,0.0,
389,390,54,13,0.0,
390,391,54,8,0.0,
391,392,54,9,0.0,
392,393,54,3,0.0,
393,394,55,4,14.0,
394,395,55,1,8.0,
395,396,55,7,6.0,
396,397,55,2,8.0,
397,398,55,11,2.0,
398,399,55,9,1.0,
399,400,55,5,0.0,
400,401,55,13,0.0,
401,402,55,8,0.0,
402,403,55,6,0.0,
403,404,55,3,0.0,
404,405,56,6,15.0,
405,406,56,4,9.0,
406,407,56,1,10.0,
407,408,56,3,3.0,
408,409,56,11,2.0,
409,410,56,7,0.0,
410,411,56,2,0.0,
411,412,56,5,0.0,
412,413,56,13,0.0,
413,414,56,9,0.0,
414,415,56,8,0.0,
415,416,57,6,16.0,
416,417,57,4,11.0,
417,418,57,1,5.0,
418,419,57,11,4.0,
419,420,57,3,2.0,
420,421,57,2,1.0,
421,422,57,7,0.0,
422,423,57,5,0.0,
423,424,57,13,0.0,
424,425,57,8,0.0,
425,426,57,9,0.0,
426,427,58,4,16.0,
427,428,58,6,13.0,
428,429,58,1,4.0,
429,430,58,11,5.0,
430,431,58,2,1.0,
431,432,58,3,0.0,
432,433,58,7,0.0,
433,434,58,9,0.0,
434,435,58,5,0.0,
435,436,58,13,0.0,
436,437,58,8,0.0,
437,438,59,4,13.0,
438,439,59,1,8.0,
439,440,59,9,6.0,
440,441,59,11,5.0,
441,442,59,6,4.0,
442,443,59,2,2.0,
443,444,59,7,1.0,
444,445,59,5,0.0,
445,446,59,13,0.0,
446,447,59,8,0.0,
447,448,59,3,0.0,
448,449,60,4,15.0,
449,450,60,6,12.0,
450,451,60,1,9.0,
451,452,60,2,3.0,
452,453,60,3,0.0,
453,454,60,11,0.0,
454,455,60,7,0.0,
455,456,60,9,0.0,
456,457,60,5,0.0,
457,458,60,13,0.0,
458,459,60,8,0.0,
459,460,61,4,15.0,
460,461,61,6,12.0,
461,462,61,1,6.0,
462,463,61,7,3.0,
463,464,61,2,2.0,
464,465,61,9,1.0,
465,466,61,11,0.0,
466,467,61,5,0.0,
467,468,61,3,0.0,
468,469,61,13,0.0,
469,470,61,8,0.0,
